Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
20356421,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 아스크텍,마이크론 Crucial PRO 패키지 아스크텍,DDR5,5600,CL46,64GB(32GX2),64,260510,260510,270520,273990,0,0,0,0,0,273990,273990,273990,273990,273990,273990,273990,273990,273990,273990,265000,265000,265000,265000,265000,0,0,0,0,0,265000
28553522,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 아스크텍,마이크론 Crucial PRO 패키지 아스크텍,DDR5,5600,CL46,32GB(16GX2),32,0,0,0,0,127130,127020,126920,126810,126720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126500,126500,126500,126500,0
28553522,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 아스크텍,마이크론 Crucial PRO 패키지 아스크텍,DDR5,5600,CL46,64GB(32GX2),64,0,0,0,0,273990,273990,273990,273990,273990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265000,265000,265000,265000,0
28329554,마이크론 Crucial DDR5-6000 CL48 PRO 패키지 아스크텍,마이크론 Crucial PRO 패키지 아스크텍,DDR5,6000,CL48,48GB(24GX2),48,175634,186980,184310,184190,184090,0,0,0,0,0,0,184750,185770,185770,185720,185280,186790,186790,186790,186790,186790,186790,186790,186790,0,186780,186780,186780,186610,186390
28329554,마이크론 Crucial DDR5-6000 CL48 PRO 패키지 아스크텍,마이크론 Crucial PRO 패키지 아스크텍,DDR5,6000,CL48,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,161700,161700,161700,161700,161550,161500,160790,160690,160590,160500,160490,160370,160330,0,160260,160150,160050,159950,159870
10610796,마이크론 Crucial 노트북 DDR4-3200 CL22,마이크론 Crucial 노트북,DDR4,3200,CL22,16GB,16,45105,46590,45880,46170,46070,46060,46060,46030,46740,46670,46660,46570,46510,46510,46470,46360,46290,46190,46080,46070,46070,46030,47400,47290,0,47120,47010,47010,46960,46910
10610796,마이크론 Crucial 노트북 DDR4-3200 CL22,마이크론 Crucial 노트북,DDR4,3200,CL22,8GB,8,22194,22890,22850,22780,22730,22710,22710,22680,23350,22850,22850,22790,22720,22720,22800,22800,22800,23020,22970,22970,22970,22960,22920,22920,0,22980,22980,22980,23040,23040
16411766,마이크론 Crucial 노트북 DDR4-3200 CL22 중고,마이크론 Crucial 노트북 중고,DDR4,3200,CL22,8GB,8,24220,0,24030,23910,23820,23710,0,0,0,0,0,0,24260,24150,24030,23930,23880,23770,23670,24460,24340,24230,24170,24170,0,0,0,0,0,0
16411766,마이크론 Crucial 노트북 DDR4-3200 CL22 중고,마이크론 Crucial 노트북 중고,DDR4,3200,CL22,4GB,4,10000,0,10000,10000,10000,10000,0,0,0,0,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0,0,0
16524281,마이크론 Crucial 노트북 DDR4-3200 CL22 중고,마이크론 Crucial 노트북 중고,DDR4,3200,CL22,8GB,8,0,24120,0,0,0,0,23620,23510,23470,23470,24460,24350,0,0,0,0,0,0,0,0,0,0,0,0,0,24030,23930,23820,23710,23630
16524281,마이크론 Crucial 노트북 DDR4-3200 CL22 중고,마이크론 Crucial 노트북 중고,DDR4,3200,CL22,4GB,4,0,10000,0,0,0,0,10000,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,8890,8890,8890,8890,8890
17292047,마이크론 Crucial 노트북 DDR4-3200 CL22 해외구매,마이크론 Crucial 노트북 해외구매,DDR4,3200,CL22,16GB,16,0,0,86200,86200,0,0,86200,86200,86200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17292047,마이크론 Crucial 노트북 DDR4-3200 CL22 해외구매,마이크론 Crucial 노트북 해외구매,DDR4,3200,CL22,8GB,8,0,0,72400,72400,0,0,72400,72400,72400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17871047,마이크론 Crucial 노트북 DDR4-3200 CL22 해외구매,마이크론 Crucial 노트북 해외구매,DDR4,3200,CL22,16GB,16,0,0,0,0,0,0,0,0,0,0,0,88400,88400,88400,88400,88400,88400,88400,88400,88400,88400,88400,88400,88400,0,87900,87900,87900,87900,87900
17871047,마이크론 Crucial 노트북 DDR4-3200 CL22 해외구매,마이크론 Crucial 노트북 해외구매,DDR4,3200,CL22,8GB,8,0,0,0,0,0,0,0,0,0,0,0,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,72400,0,72400,72400,72400,72400,72400
