date,chip_perf_group,active_product_n,new_product_n,new_product_share,log_active_product_n,adj_n,bridge_n,bridge_ratio
2025-03-23,mid,263,42.0,0.1596958174904943,5.575949103146316,263,2,0.0076045627376425855
2025-03-30,high,228,19.0,0.08333333333333333,5.43372200355424,228,3,0.013157894736842105
2025-03-30,low,25,1.0,0.04,3.258096538021482,25,0,0.0
2025-03-30,mid,269,6.0,0.022304832713754646,5.598421958998375,269,0,0.0
2025-04-06,high,253,21.0,0.08300395256916997,5.537334267018537,253,3,0.011857707509881422
2025-04-06,low,25,0.0,0.0,3.258096538021482,25,1,0.04
2025-04-06,mid,277,11.0,0.039711191335740074,5.627621113690637,277,2,0.007220216606498195
2025-04-13,high,269,16.0,0.05947955390334572,5.598421958998375,269,0,0.0
2025-04-13,low,27,0.0,0.0,3.332204510175204,27,0,0.0
2025-04-13,mid,287,13.0,0.04529616724738676,5.662960480135946,287,1,0.003484320557491289
2025-04-20,high,277,9.0,0.032490974729241874,5.627621113690637,277,1,0.0036101083032490976
2025-04-20,low,28,0.0,0.0,3.367295829986474,28,0,0.0
2025-04-20,mid,287,3.0,0.010452961672473868,5.662960480135946,287,0,0.0
2025-04-27,high,271,5.0,0.01845018450184502,5.605802066295998,271,0,0.0
2025-04-27,low,26,0.0,0.0,3.295836866004329,26,0,0.0
2025-04-27,mid,296,23.0,0.0777027027027027,5.6937321388027,296,0,0.0
2025-05-04,high,267,2.0,0.00749063670411985,5.5909869805108565,267,0,0.0
2025-05-04,low,24,0.0,0.0,3.2188758248682006,24,0,0.0
2025-05-04,mid,331,43.0,0.1299093655589124,5.805134968916488,331,0,0.0
2025-05-11,high,272,6.0,0.022058823529411766,5.60947179518496,272,0,0.0
2025-05-11,low,26,1.0,0.038461538461538464,3.295836866004329,26,0,0.0
2025-05-11,mid,338,14.0,0.04142011834319527,5.82600010738045,338,0,0.0
2025-05-18,high,271,1.0,0.0036900369003690036,5.605802066295998,271,1,0.0036900369003690036
